id,category,cue_name,trigger,priority,deliverable
SFX-001,global,UI boot chime,dashboard loaded,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-002,global,Global command accept,Run All/Pause All/Stop All,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-003,global,Sleep Mode engage,Sleep Mode button,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-004,global,Safe Mode engage,quality/safe mode,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-005,global,Panel hover tick,panel hover,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-006,button,Toggle ON slide,toggle on,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-007,button,Toggle OFF slide,toggle off,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-008,button,Run ignition,Run click,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-009,button,Pause soft freeze,Pause click,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-010,button,Stop hard cutoff,Stop click,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-011,button,Rerun loop spin,Rerun click,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-012,button,Approve confirm,Approve click,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-013,button,Reject/blocked buzz,blocked action,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-014,pipeline,Pipeline start,pipeline started,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-015,pipeline,Pipeline completed,pipeline complete,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-016,pipeline,Pipeline failed,pipeline failure,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-017,pipeline,Pipeline degraded warning,degraded status,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-018,pipeline,Queue paused,queue paused,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-019,pipeline,Queue resumed,queue resumed,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-020,inference,Tier 1 micro route,router selects tier 1,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-021,inference,Tier 2 base route,router selects tier 2,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-022,inference,Tier 3 strong route,router selects tier 3,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-023,inference,Tier 4 cold unlock,Tier 4 approved,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-024,inference,External escalation portal,Tier 5 approved,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-025,inference,Blocked escalation shield,tier blocked,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-026,inference,Validation pass,validator pass,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-027,inference,Validation fail,validator fail,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-028,infra,VRAM warning,VRAM > 85,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-029,infra,VRAM critical,VRAM > 92,critical,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-030,infra,CPU warning,CPU > 90,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-031,infra,Disk warning,disk > 85,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-032,infra,Disk critical,disk > 90,critical,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-033,infra,Restart loop alert,container restart loop,critical,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-034,infra,Health recovered,system recovered,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-035,brain,Jarvis listening wake,voice activation,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-036,brain,Jarvis thinking loop,thinking state,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-037,brain,Jarvis speaking pulse,voice output,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-038,brain,Brain critical spike,critical alert,critical,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-039,brain,Research verified tone,3-source complete,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-040,asset_forge,Image generation queued,image generation start,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-041,asset_forge,Image generated,image ready,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-042,asset_forge,GLB generation queued,GLB generation start,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-043,asset_forge,GLB generated,GLB ready,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-044,asset_forge,Asset added to scene,add to scene,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-045,asset_forge,Generation failed,asset generation fail,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-046,coding,Claude message received,Claude message,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-047,coding,Code task started,coding job start,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-048,coding,Code task progress update,coding progress,low,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-049,coding,Code task complete,coding complete,normal,"wav/ogg, -14 LUFS target, short UI-safe cue"
SFX-050,coding,Approval required,approval gate,high,"wav/ogg, -14 LUFS target, short UI-safe cue"
