topic_id,master_topic,purpose
T001,Universe & cosmology,"Understand celestial mechanics, space objects, radiation and cosmic-scale phenomena."
T002,Earth systems,"Model atmosphere, ocean, land, water, ice and biosphere."
T003,Geography & location,"Locate every entity, event, asset and boundary."
T004,Environment & ecology,"Track ecosystems, pollutants, biodiversity and environmental obligations."
T005,Climate & hazards,"Detect, forecast and operationalise climate and hazard risks."
T006,Life & biology,"Model organisms, genetics, microbiology and biological systems."
T007,Human body & health,"Integrate public health, disease, hospital, clinical and biomedical knowledge."
T008,People & demographics,"Understand populations, public figures, workforce, migration and social indicators."
T009,Society & culture,"Map cultural systems, languages, heritage, media and community structures."
T010,Knowledge & education,"Model schools, universities, research, libraries, courses and outcomes."
T011,Science & research,"Track publications, datasets, patents, grants, labs, models and standards."
T012,Technology & engineering,"Track software, hardware, AI, robotics, civil/electrical/mechanical systems and standards."
T013,Information & communication,"Model internet, telecom, spectrum, media, archives and information quality."
T014,Economy & industry,"Track national accounts, industries, companies, labour, trade, prices and regional economy."
T015,Products & commodities,"Model products, SKUs, commodities, chemicals, vehicles, electronics, food and benchmarks."
T016,Finance & ownership,"Model markets, banking, insurance, ownership, budgets, invoices, risk and regulation."
T017,Government & public administration,"Track agencies, budgets, procurement, licences, services, statistics and public programs."
T018,Law & regulation,"Model legislation, cases, enforcement, licences, sanctions, legal entities and standards."
T019,Politics & governance,"Track elections, offices, boundaries, parties, votes, donations, diplomacy and governance indicators."
T020,Security & conflict,"Track public-safety, emergency, defence-relevant public data, cyber threats and humanitarian crises."
T021,Infrastructure & utilities,"Model critical assets, dependencies, maintenance and utilities across energy/water/telecom/transport."
T022,Energy & resources,"Track generation, storage, transmission, fuels, mining, emissions, demand and policy."
T023,Agriculture & food systems,"Track crops, livestock, fisheries, soil, weather impact, inputs, processing and biosecurity."
T024,Urban & built environment,"Track planning, buildings, parcels, smart-city systems, construction, risk and maintenance."
T025,Transport & mobility,"Track roads, rail, aviation, maritime, transit, vehicles, logistics and safety."
T026,Business & organisations,"Model companies, ownership, filings, operations, contracts, institutions and relationships."
T027,Work & labour,"Track jobs, skills, wages, safety, training, workforce supply and professions."
T028,Consumption & lifestyle,"Track retail, households, tourism, sport, recreation, restaurants, events and prices."
T029,Ethics & philosophy,"Model rights, ethics, fairness, consent, accountability, public interest and decision justification."
T030,Classification & metadata itself,"Define ontologies, taxonomies, schemas, identifiers, metadata, standards, lineage and data quality."
