folder,expected_min_files,actual_files,status
science_domains,30,30,PASS
connectors,13,13,PASS
parsers,32,32,PASS
quality_gates,17,17,PASS
quality_gates/rules,8,8,PASS
ontology_objects,12,12,PASS
ontology_objects/specialised,21,21,PASS
graph/relationship_types,24,24,PASS
cause_effect_engine,8,8,PASS
vectors,10,11,PASS
aip,12,12,PASS
apollo_runtime/desired_state,5,5,PASS
apollo_runtime/rollout_policies,4,4,PASS
apollo_runtime/fleet_agents,4,4,PASS
apollo_runtime/health_gates,6,6,PASS
foundry_pipelines,5,5,PASS
foundry_pipelines/pipeline_templates,10,10,PASS
foundry_pipelines/release_controls,4,4,PASS
gotham_mission_apps,11,11,PASS
governance,16,16,PASS
evals,13,13,PASS
source_legal_review,7,7,PASS
memory_runtime,10,10,PASS
actions/action_input_schemas,10,10,PASS
actions/action_policies,5,10,PASS
actions/compensating_actions,4,4,PASS
audit_replay,10,10,PASS
