area,status,remaining_gap
Source acquisition,registry_complete_contracts_present,live connector credentials and legal review still required before production ingestion
UI design system,v5_added,visual QA and brand sign-off still required
Route coverage,v5_added_all_routes_have_empty_error_back_primary_action,backend API integration required
Buttons/actions,v5_added_button_registry,connect to real action engine and policy service
Data tables,v5_added_render_contracts,server pagination and virtualisation need live API implementation
Graph visualiser,reference_implemented,replace SVG reference with WebGPU/WebGL instanced renderer for 50k+ nodes
Jarvis operator,reference_implemented,"connect to live AIP context builder, tool registry and action engine"
Apollo pages,route_specs_added,"connect to desired-state, fleet-agent and rollout APIs"
Gotham pages,route_specs_added,"connect to event stream, map/timeline and case workflow APIs"
Foundry pages,route_specs_added,"connect to source registry, pipeline registry, object runtime, graph and vector DB"
Performance,contracts_present,performance testing with real 50k/250k graph payloads required
Accessibility,design_rules_added,keyboard/screen-reader QA against implementation required
