table_id,page,data_source,primary_key,columns,features,empty_state
source_catalogue,SourceCatalogue,catalogues/source_families_350_expanded.csv,source_id,"source_id, source_name, url, access_method, auth, domain_use, terms_status","virtualised rows, column filters, source risk chips, open detail drawer",No sources visible under current policy
endpoint_candidates,SourceCatalogue,catalogues/endpoint_candidates_actual_92000.csv,endpoint_candidate_id,"endpoint_candidate_id, source_id, official_url, connector, refresh_cadence, production_status","server pagination, connector filter, production state badges",No endpoints matching filters
priority_acquisition_points,CommandOverview,catalogues/priority_acquisition_points_1000.csv,acquisition_point_id,"id, name, source_strategy, ontology_object, cause_input, effect_output, production_readiness","risk sort, cause/effect preview, trace source button",No priority points loaded
pipeline_runs,PipelineTopology,pipeline_registry_api,pipeline_run_id,"run_id, pipeline, status, quality_score, started_at, duration, audit_id","live status, failed gate drilldown, lineage link",No runs in selected window
ontology_objects,OntologyExplorer,object_runtime_api,object_id,"object_id, type, label, confidence, source_count, last_updated, policy_state","object profile drawer, graph expand, evidence preview",No objects returned
vector_namespaces,VectorMemory,vector_registry_api,namespace,"namespace, collection, chunks, last_embedded, retrieval_score, policy_filter","run eval, inspect chunks, open citations",No vector namespaces
action_queue,ActionApprovalQueue,action_engine_api,action_execution_id,"id, action_type, target_object, risk, policy_decision, approver, status","approve/reject, impact view, audit link",No actions pending
fleet_nodes,FleetHealth,apollo_fleet_api,node_id,"node_id, environment, service_count, health, drift, version, last_heartbeat","open node, compare desired/current, health gate chips",No nodes checked in
rollouts,RolloutControl,apollo_rollout_api,rollout_id,"rollout_id, service, version, wave, health_gate, status, rollback_ref","promote/pause/rollback, blast radius",No active rollouts
audit_events,AuditReplay,audit_api,audit_id,"audit_id, actor, purpose, object_id, action_type, policy_decision, timestamp","hash chain replay, export evidence, lineage join",No audit events selected
